"Họ và tên",Email,Lớp,"Chuyên ngành","Điểm ĐGNL","Kỹ năng xác thực","Trạng thái"
"Lê Quý Tam",tamlangtu2005@gmail.com,BTEC-AI-2026A,"Kỹ thuật phần mềm & AI","85.0 (Giỏi)","10 kỹ năng","Đang học"
"Trần Minh Đức",ductm@talenthub.local,BTEC-AI-2026A,"Kỹ thuật phần mềm & AI","84.0 (Giỏi)","9 kỹ năng","Đang học"
"Vũ Đức Anh",anhvd@talenthub.local,BTEC-AI-2026A,"Kỹ thuật phần mềm & AI","82.0 (Giỏi)","8 kỹ năng","Đang học"
"Nguyễn Hoàng Nam",namnh@talenthub.local,BTEC-AI-2026A,"Kỹ thuật phần mềm & AI","80.0 (Giỏi)","7 kỹ năng","Đang học"
"Phạm Gia Bảo",baopg@talenthub.local,BTEC-AI-2026A,"Kỹ thuật phần mềm & AI","78.0 (Khá)","6 kỹ năng","Đang học"
"Lê Thị Thu Thảo",thaoltt@talenthub.local,BTEC-AI-2026A,"Kỹ thuật phần mềm & AI","79.0 (Khá)","6 kỹ năng","Đang học"
"Đỗ Hoàng Long",longdh@talenthub.local,BTEC-SE-2026A,"Kỹ thuật phần mềm","81.0 (Giỏi)","7 kỹ năng","Đang học"
"Bùi Phương Nam",nambp@talenthub.local,BTEC-SE-2026A,"Kỹ thuật phần mềm","76.0 (Khá)","6 kỹ năng","Đang học"
"Võ Quốc Huy",huyvq@talenthub.local,BTEC-SE-2026A,"Kỹ thuật phần mềm","77.0 (Khá)","6 kỹ năng","Đang học"
"Ngô Thanh Tùng",tungnt@talenthub.local,BTEC-SE-2026A,"Kỹ thuật phần mềm","75.0 (Khá)","5 kỹ năng","Đang học"
"Dương Minh Khang",khangdm@talenthub.local,BTEC-SE-2026A,"Kỹ thuật phần mềm","78.0 (Khá)","6 kỹ năng","Đang học"
